latitude,longitude,primary_type,dist_to_stadium_km
41.917569606,-87.711902519,BATTERY,9.993632700823284
41.869860712,-87.721051606,BATTERY,8.681908227329448
41.924620732,-87.775743584,BATTERY,14.876900624811508
41.795049397,-87.627798688,BATTERY,7.534256896670601
41.929642701,-87.752499967,BATTERY,13.50594103056037
41.910965919,-87.711705731,BATTERY,9.546532198506576
41.811382995,-87.668691875,BATTERY,7.113912164013282
41.794866658,-87.767899616,BATTERY,14.600337842298407
41.862379685,-87.716912254,ASSAULT,8.298827561750524
41.761314017,-87.621600135,ASSAULT,11.23647030453636
41.750639363,-87.6003199,ASSAULT,12.490103669693541
41.876558355,-87.762946409,BATTERY,12.213027260011204
41.88010075,-87.753543714,BATTERY,11.50237818339241
41.773392627,-87.671335151,BATTERY,10.873512472435301
41.767116457,-87.570854959,ASSAULT,11.245207596185777
41.749550092,-87.554066316,HOMICIDE,13.569549488140908
41.967929496,-87.649288171,ASSAULT,12.051012937057187
41.92500885,-87.700780605,BATTERY,9.851709845457977
41.744407735,-87.665718719,BATTERY,13.724257348089157
41.899470962,-87.758173082,ASSAULT,12.420236670713122
41.727752762,-87.659183496,BATTERY,15.369910151880818
41.941572291,-87.665290566,ASSAULT,9.688666816603844
41.808243783,-87.69634425,BATTERY,8.92565706472299
41.912064113,-87.763093323,ASSAULT,13.322060710242097
41.843642969,-87.713546903,ASSAULT,8.28523737627013
41.799823914,-87.703736983,ASSAULT,10.013168961101185
41.953376563,-87.750696367,ASSAULT,15.01731347874255
41.807101267,-87.586402447,BATTERY,6.631245653354403
41.772998982,-87.576478539,BATTERY,10.474316686534811
41.896685066,-87.627683859,BATTERY,3.9300966537972952
42.013109225,-87.663604147,BATTERY,17.21216266663913
41.830357357,-87.678325541,BATTERY,6.21876661100877
41.673207966,-87.617674109,BATTERY,21.02623005197165
41.763781343,-87.683218381,BATTERY,12.263685532254213
41.95290868,-87.787264857,ASSAULT,17.341860847087563
41.763846222,-87.579316872,BATTERY,11.377510756167794
41.758938155,-87.570808838,BATTERY,12.106292724646261
41.783522021,-87.593125671,BATTERY,8.974882625270798
41.976851852,-87.654999693,ASSAULT,13.125839860003735
41.935271951,-87.678216036,BATTERY,9.579197651370468
41.878053886,-87.638849697,BATTERY,2.536209897418858
41.887640628,-87.619340283,BATTERY,2.826216403657964
41.757849863,-87.58223852,BATTERY,11.960362041946556
41.801513039,-87.617733588,ASSAULT,6.759744115344416
41.653091764,-87.602385641,BATTERY,23.293175866921853
41.945939704,-87.668836294,BATTERY,10.25243933383132
41.783522021,-87.593125671,BATTERY,8.974882625270798
41.789848438,-87.655977427,BATTERY,8.688779903708229
41.850234368,-87.684178931,BATTERY,5.747411543690334
41.665177123,-87.634023752,BATTERY,21.96610664512518
41.923820753,-87.776018796,ASSAULT,14.85596501798691
41.861081457,-87.693790049,BATTERY,6.385518933051354
41.880775433,-87.627029031,BATTERY,2.22528779821492
41.902292169,-87.751660595,BATTERY,12.025368050119544
41.931200712,-87.689095336,BATTERY,9.726322304491408
41.792277329,-87.622401826,ASSAULT,7.800485736028597
41.945227452,-87.64942063,BATTERY,9.610501040939036
41.895931553,-87.640037089,BATTERY,4.209279242364855
41.77874847,-87.665468981,BATTERY,10.131424303146188
41.907350912,-87.643326367,BATTERY,5.472933375665733
41.816855505,-87.603219097,BATTERY,5.175133743528056
41.809329001,-87.685765855,BATTERY,8.211779093270822
41.93602892,-87.727097133,BATTERY,12.275845488661032
41.801283658,-87.621007624,BATTERY,6.794088049953427
41.736466326,-87.561134591,BATTERY,14.73069766487376
41.893179585,-87.634686145,BATTERY,3.7426523810467693
41.75050077,-87.610062219,BATTERY,12.44367547032144
41.922897216,-87.64519826,BATTERY,7.1390762982927365
41.857554954,-87.645792761,BATTERY,2.4664303104001326
41.917234286,-87.720999473,BATTERY,10.575990226138293
41.744940511,-87.660139682,ASSAULT,13.537407681323034
41.903927445,-87.629529005,BATTERY,4.749040832734783
42.019517794,-87.68819727,BATTERY,18.454930664922408
41.846477058,-87.693396008,BATTERY,6.591336659867842
41.881101134,-87.692870716,ASSAULT,6.644420297950748
41.780946398,-87.621995369,BATTERY,9.056744075068476
41.918711651,-87.76551063,BATTERY,13.823107805490277
41.70715056,-87.624428152,BATTERY,17.263726019971823
41.994773566,-87.699545801,BATTERY,16.246707899923674
41.820646175,-87.684753013,BATTERY,7.2961442487161845
41.737463299,-87.640007421,BATTERY,14.015015577714625
41.872282126,-87.664169404,BATTERY,4.084463175308089
41.917978081,-87.735075825,BATTERY,11.590730835959802
41.990467833,-87.695071404,BATTERY,15.657132146449166
41.892694698,-87.626750816,BATTERY,3.480670374525023
41.737043191,-87.671616981,BATTERY,14.652989074936068
42.008000249,-87.660438231,BATTERY,16.600182314446627
41.976713822,-87.836614148,BATTERY,22.201917937320356
41.782395924,-87.716567973,BATTERY,12.14189107885781
41.90516817,-87.634526065,BATTERY,4.989931462436638
41.892694698,-87.626750816,BATTERY,3.480670374525023
41.858714633,-87.660427092,BATTERY,3.6431313580670395
41.772998982,-87.576478539,BATTERY,10.474316686534811
41.765907195,-87.595806104,BATTERY,10.857360110773199
41.93871347,-87.656499322,ASSAULT,9.112918979151344
41.899197809,-87.750803438,ASSAULT,11.836089511902788
41.761135248,-87.630900966,BATTERY,11.310409661776276
41.711933671,-87.624833412,ASSAULT,16.733565897180465
41.747768022,-87.715492342,ASSAULT,15.140749222070259
41.895682989,-87.652616066,ASSAULT,4.756145896338412
41.898802243,-87.739475311,ASSAULT,10.94486053144288
41.946167442,-87.66269521,ASSAULT,10.07257318482785
41.740797975,-87.663191212,ASSAULT,14.049277733228115
41.794530106,-87.632179351,ASSAULT,7.644034627069895
42.001822361,-87.689987495,BATTERY,16.656636180890217
41.858680215,-87.667706777,BATTERY,4.243251990175078
41.81557542,-87.621381196,ASSAULT,5.209989268481861
41.885340632,-87.738733306,BATTERY,10.423815572225005
41.892571811,-87.621959165,BATTERY,3.39411716080203
41.893852746,-87.763527137,BATTERY,12.652308091171523
41.991538784,-87.656859584,BATTERY,14.749744006661313
41.949837364,-87.658635101,BATTERY,10.333857228228203
41.974031676,-87.659806667,ASSAULT,12.92581325418618
41.656782576,-87.602332931,BATTERY,22.88354487826785
41.803896231,-87.664844779,ASSAULT,7.621369526165831
41.763435254,-87.5752494,BATTERY,11.517502721958092
41.92524674,-87.661495929,BATTERY,7.920799428422099
41.81811276,-87.60674129,BATTERY,4.982176102601536
41.744704971,-87.642648473,BATTERY,13.251682349877317
41.884092838,-87.675478107,ASSAULT,5.436657469745767
41.704573805,-87.565101498,BATTERY,18.052627208217064
41.685242809,-87.629376718,ASSAULT,19.715907134087775
41.798643014,-87.697601915,ASSAULT,9.748504067314224
41.876695801,-87.75204698,ASSAULT,11.320901504749642
41.865070159,-87.733708009,ASSAULT,9.694411312693646
41.814322906,-87.622972448,BATTERY,5.360056828967514
41.689840356,-87.666316176,ASSAULT,19.613043492112265
41.80462016,-87.684368169,BATTERY,8.51857875083975
41.74979483,-87.69567643,BATTERY,14.11913953194027
42.012806272,-87.66482899,BATTERY,17.202509434400937
41.88399243,-87.678075463,ASSAULT,5.625193112728135
41.912476113,-87.706815747,ASSAULT,9.315430937530202
41.702218321,-87.530450967,BATTERY,19.18313079816985
41.763836964,-87.681894591,BATTERY,12.2092137909203
41.935942974,-87.718674167,BATTERY,11.759533124980813
41.875971051,-87.741250934,BATTERY,10.424703359372762
41.885312381,-87.667573631,BATTERY,4.928541184824522
42.004694436,-87.672883168,BATTERY,16.501516042202454
41.969571632,-87.659684501,BATTERY,12.447028264550191
41.692699055,-87.615166056,BATTERY,18.859193593281447
41.880251406,-87.626157171,BATTERY,2.144206743606286
41.884601868,-87.678113304,HOMICIDE,5.6573769986248825
41.736620357,-87.545821332,ASSAULT,15.159790627861845
41.691641803,-87.64235966,BATTERY,19.095244139421723
41.953783081,-87.915105451,BATTERY,26.70715933346897
41.886275336,-87.765078145,ASSAULT,12.571191457220232
41.689824117,-87.626412423,BATTERY,19.195346826918946
41.873219626,-87.675868666,BATTERY,5.047699939596667
41.811081649,-87.723706204,BATTERY,10.536780807390231
41.717977525,-87.631682478,ASSAULT,16.09592682751419
41.768502382,-87.621769953,BATTERY,10.438278917313301
