game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,bears_win
2009_15_CHI_BAL,2009,REG,15,2009-12-20,Sunday,16:15,CHI,7,BAL,31,Home,24,38,0.0
2009_16_MIN_CHI,2009,REG,16,2009-12-28,Monday,20:30,MIN,30,CHI,36,Home,6,66,1.0
2009_17_CHI_DET,2009,REG,17,2010-01-03,Sunday,13:00,CHI,37,DET,23,Home,-14,60,1.0
2010_01_DET_CHI,2010,REG,1,2010-09-12,Sunday,13:00,DET,14,CHI,19,Home,5,33,1.0
2010_02_CHI_DAL,2010,REG,2,2010-09-19,Sunday,13:00,CHI,27,DAL,20,Home,-7,47,1.0
2010_03_GB_CHI,2010,REG,3,2010-09-27,Monday,20:30,GB,17,CHI,20,Home,3,37,1.0
2010_04_CHI_NYG,2010,REG,4,2010-10-03,Sunday,20:20,CHI,3,NYG,17,Home,14,20,0.0
2010_05_CHI_CAR,2010,REG,5,2010-10-10,Sunday,13:00,CHI,23,CAR,6,Home,-17,29,1.0
2010_06_SEA_CHI,2010,REG,6,2010-10-17,Sunday,13:00,SEA,23,CHI,20,Home,-3,43,0.0
2010_07_WAS_CHI,2010,REG,7,2010-10-24,Sunday,13:00,WAS,17,CHI,14,Home,-3,31,0.0
2010_09_CHI_BUF,2010,REG,9,2010-11-07,Sunday,13:00,CHI,22,BUF,19,Home,-3,41,1.0
2010_10_MIN_CHI,2010,REG,10,2010-11-14,Sunday,13:00,MIN,13,CHI,27,Home,14,40,1.0
2010_11_CHI_MIA,2010,REG,11,2010-11-18,Thursday,20:20,CHI,16,MIA,0,Home,-16,16,1.0
2010_12_PHI_CHI,2010,REG,12,2010-11-28,Sunday,16:15,PHI,26,CHI,31,Home,5,57,1.0
2010_13_CHI_DET,2010,REG,13,2010-12-05,Sunday,13:00,CHI,24,DET,20,Home,-4,44,1.0
2010_14_NE_CHI,2010,REG,14,2010-12-12,Sunday,16:15,NE,36,CHI,7,Home,-29,43,0.0
2010_15_CHI_MIN,2010,REG,15,2010-12-20,Monday,20:30,CHI,40,MIN,14,Home,-26,54,1.0
2010_16_NYJ_CHI,2010,REG,16,2010-12-26,Sunday,13:00,NYJ,34,CHI,38,Home,4,72,1.0
2010_17_CHI_GB,2010,REG,17,2011-01-02,Sunday,16:15,CHI,3,GB,10,Home,7,13,0.0
2010_19_SEA_CHI,2010,DIV,19,2011-01-16,Sunday,13:00,SEA,24,CHI,35,Home,11,59,1.0
2010_20_GB_CHI,2010,CON,20,2011-01-23,Sunday,15:00,GB,21,CHI,14,Home,-7,35,0.0
2011_01_ATL_CHI,2011,REG,1,2011-09-11,Sunday,13:00,ATL,12,CHI,30,Home,18,42,1.0
2011_02_CHI_NO,2011,REG,2,2011-09-18,Sunday,13:00,CHI,13,NO,30,Home,17,43,0.0
2011_03_GB_CHI,2011,REG,3,2011-09-25,Sunday,16:15,GB,27,CHI,17,Home,-10,44,0.0
2011_04_CAR_CHI,2011,REG,4,2011-10-02,Sunday,13:00,CAR,29,CHI,34,Home,5,63,1.0
2011_05_CHI_DET,2011,REG,5,2011-10-10,Monday,20:30,CHI,13,DET,24,Home,11,37,0.0
