game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,bears_win
2019_14_DAL_CHI,2019,REG,14,2019-12-05,Thursday,20:20,DAL,24,CHI,31,7,55,1
2019_15_CHI_GB,2019,REG,15,2019-12-15,Sunday,13:00,CHI,13,GB,21,8,34,0
2019_16_KC_CHI,2019,REG,16,2019-12-22,Sunday,20:20,KC,26,CHI,3,-23,29,0
2019_17_CHI_MIN,2019,REG,17,2019-12-29,Sunday,13:00,CHI,21,MIN,19,-2,40,1
2020_01_CHI_DET,2020,REG,1,2020-09-13,Sunday,13:00,CHI,27,DET,23,-4,50,1
2020_02_NYG_CHI,2020,REG,2,2020-09-20,Sunday,13:00,NYG,13,CHI,17,4,30,1
2020_03_CHI_ATL,2020,REG,3,2020-09-27,Sunday,13:00,CHI,30,ATL,26,-4,56,1
2020_04_IND_CHI,2020,REG,4,2020-10-04,Sunday,16:25,IND,19,CHI,11,-8,30,0
2020_05_TB_CHI,2020,REG,5,2020-10-08,Thursday,20:20,TB,19,CHI,20,1,39,1
2020_06_CHI_CAR,2020,REG,6,2020-10-18,Sunday,13:00,CHI,23,CAR,16,-7,39,1
2020_07_CHI_LA,2020,REG,7,2020-10-26,Monday,20:15,CHI,10,LA,24,14,34,0
2020_08_NO_CHI,2020,REG,8,2020-11-01,Sunday,16:25,NO,26,CHI,23,-3,49,0
2020_09_CHI_TEN,2020,REG,9,2020-11-08,Sunday,13:00,CHI,17,TEN,24,7,41,0
2020_10_MIN_CHI,2020,REG,10,2020-11-16,Monday,20:15,MIN,19,CHI,13,-6,32,0
2020_12_CHI_GB,2020,REG,12,2020-11-29,Sunday,20:20,CHI,25,GB,41,16,66,0
2020_13_DET_CHI,2020,REG,13,2020-12-06,Sunday,13:00,DET,34,CHI,30,-4,64,0
2020_14_HOU_CHI,2020,REG,14,2020-12-13,Sunday,13:00,HOU,7,CHI,36,29,43,1
2020_15_CHI_MIN,2020,REG,15,2020-12-20,Sunday,13:00,CHI,33,MIN,27,-6,60,1
2020_16_CHI_JAX,2020,REG,16,2020-12-27,Sunday,13:00,CHI,41,JAX,17,-24,58,1
2020_17_GB_CHI,2020,REG,17,2021-01-03,Sunday,16:25,GB,35,CHI,16,-19,51,0
2020_18_CHI_NO,2020,WC,18,2021-01-10,Sunday,16:40,CHI,9,NO,21,12,30,0
2021_01_CHI_LA,2021,REG,1,2021-09-12,Sunday,20:20,CHI,14,LA,34,20,48,0
2021_02_CIN_CHI,2021,REG,2,2021-09-19,Sunday,13:00,CIN,17,CHI,20,3,37,1
2021_03_CHI_CLE,2021,REG,3,2021-09-26,Sunday,13:00,CHI,6,CLE,26,20,32,0
2021_04_DET_CHI,2021,REG,4,2021-10-03,Sunday,13:00,DET,14,CHI,24,10,38,1
2021_05_CHI_LV,2021,REG,5,2021-10-10,Sunday,16:05,CHI,20,LV,9,-11,29,1
2021_06_GB_CHI,2021,REG,6,2021-10-17,Sunday,13:00,GB,24,CHI,14,-10,38,0
2021_07_CHI_TB,2021,REG,7,2021-10-24,Sunday,16:25,CHI,3,TB,38,35,41,0
2021_08_SF_CHI,2021,REG,8,2021-10-31,Sunday,13:00,SF,33,CHI,22,-11,55,0
2021_09_CHI_PIT,2021,REG,9,2021-11-08,Monday,20:15,CHI,27,PIT,29,2,56,0
2021_11_BAL_CHI,2021,REG,11,2021-11-21,Sunday,13:00,BAL,16,CHI,13,-3,29,0
2021_12_CHI_DET,2021,REG,12,2021-11-25,Thursday,12:30,CHI,16,DET,14,-2,30,1
2021_13_ARI_CHI,2021,REG,13,2021-12-05,Sunday,13:00,ARI,33,CHI,22,-11,55,0
2021_14_CHI_GB,2021,REG,14,2021-12-12,Sunday,20:20,CHI,30,GB,45,15,75,0
2021_15_MIN_CHI,2021,REG,15,2021-12-20,Monday,20:15,MIN,17,CHI,9,-8,26,0
2021_16_CHI_SEA,2021,REG,16,2021-12-26,Sunday,16:05,CHI,25,SEA,24,-1,49,1
2021_17_NYG_CHI,2021,REG,17,2022-01-02,Sunday,13:00,NYG,3,CHI,29,26,32,1
2021_18_CHI_MIN,2021,REG,18,2022-01-09,Sunday,13:00,CHI,17,MIN,31,14,48,0
2022_01_SF_CHI,2022,REG,1,2022-09-11,Sunday,13:00,SF,10,CHI,19,9,29,1
2022_02_CHI_GB,2022,REG,2,2022-09-18,Sunday,20:20,CHI,10,GB,27,17,37,0
2022_03_HOU_CHI,2022,REG,3,2022-09-25,Sunday,13:00,HOU,20,CHI,23,3,43,1
2022_04_CHI_NYG,2022,REG,4,2022-10-02,Sunday,13:00,CHI,12,NYG,20,8,32,0
2022_05_CHI_MIN,2022,REG,5,2022-10-09,Sunday,13:00,CHI,22,MIN,29,7,51,0
2022_06_WAS_CHI,2022,REG,6,2022-10-13,Thursday,20:15,WAS,12,CHI,7,-5,19,0
2022_07_CHI_NE,2022,REG,7,2022-10-24,Monday,20:15,CHI,33,NE,14,-19,47,1
2022_08_CHI_DAL,2022,REG,8,2022-10-30,Sunday,13:00,CHI,29,DAL,49,20,78,0
2022_09_MIA_CHI,2022,REG,9,2022-11-06,Sunday,13:00,MIA,35,CHI,32,-3,67,0
2022_10_DET_CHI,2022,REG,10,2022-11-13,Sunday,13:00,DET,31,CHI,30,-1,61,0
2022_11_CHI_ATL,2022,REG,11,2022-11-20,Sunday,13:00,CHI,24,ATL,27,3,51,0
2022_12_CHI_NYJ,2022,REG,12,2022-11-27,Sunday,13:00,CHI,10,NYJ,31,21,41,0
2022_13_GB_CHI,2022,REG,13,2022-12-04,Sunday,13:00,GB,28,CHI,19,-9,47,0
2022_15_PHI_CHI,2022,REG,15,2022-12-18,Sunday,13:00,PHI,25,CHI,20,-5,45,0
2022_16_BUF_CHI,2022,REG,16,2022-12-24,Saturday,13:00,BUF,35,CHI,13,-22,48,0
2022_17_CHI_DET,2022,REG,17,2023-01-01,Sunday,13:00,CHI,10,DET,41,31,51,0
2022_18_MIN_CHI,2022,REG,18,2023-01-08,Sunday,13:00,MIN,29,CHI,13,-16,42,0
2023_01_GB_CHI,2023,REG,1,2023-09-10,Sunday,16:25,GB,38,CHI,20,-18,58,0
2023_02_CHI_TB,2023,REG,2,2023-09-17,Sunday,13:00,CHI,17,TB,27,10,44,0
2023_03_CHI_KC,2023,REG,3,2023-09-24,Sunday,16:25,CHI,10,KC,41,31,51,0
2023_04_DEN_CHI,2023,REG,4,2023-10-01,Sunday,13:00,DEN,31,CHI,28,-3,59,0
2023_05_CHI_WAS,2023,REG,5,2023-10-05,Thursday,20:15,CHI,40,WAS,20,-20,60,1
2023_06_MIN_CHI,2023,REG,6,2023-10-15,Sunday,13:00,MIN,19,CHI,13,-6,32,0
2023_07_LV_CHI,2023,REG,7,2023-10-22,Sunday,13:00,LV,12,CHI,30,18,42,1
2023_08_CHI_LAC,2023,REG,8,2023-10-29,Sunday,20:20,CHI,13,LAC,30,17,43,0
2023_09_CHI_NO,2023,REG,9,2023-11-05,Sunday,13:00,CHI,17,NO,24,7,41,0
2023_10_CAR_CHI,2023,REG,10,2023-11-09,Thursday,20:15,CAR,13,CHI,16,3,29,1
2023_11_CHI_DET,2023,REG,11,2023-11-19,Sunday,13:00,CHI,26,DET,31,5,57,0
2023_12_CHI_MIN,2023,REG,12,2023-11-27,Monday,20:15,CHI,12,MIN,10,-2,22,1
2023_14_DET_CHI,2023,REG,14,2023-12-10,Sunday,13:00,DET,13,CHI,28,15,41,1
2023_15_CHI_CLE,2023,REG,15,2023-12-17,Sunday,13:00,CHI,17,CLE,20,3,37,0
2023_16_ARI_CHI,2023,REG,16,2023-12-24,Sunday,16:25,ARI,16,CHI,27,11,43,1
2023_17_ATL_CHI,2023,REG,17,2023-12-31,Sunday,13:00,ATL,17,CHI,37,20,54,1
2023_18_CHI_GB,2023,REG,18,2024-01-07,Sunday,16:25,CHI,9,GB,17,8,26,0
2024_01_TEN_CHI,2024,REG,1,2024-09-08,Sunday,13:00,TEN,17,CHI,24,7,41,1
2024_02_CHI_HOU,2024,REG,2,2024-09-15,Sunday,20:20,CHI,13,HOU,19,6,32,0
2024_03_CHI_IND,2024,REG,3,2024-09-22,Sunday,13:00,CHI,16,IND,21,5,37,0
2024_04_LA_CHI,2024,REG,4,2024-09-29,Sunday,13:00,LA,18,CHI,24,6,42,1
2024_05_CAR_CHI,2024,REG,5,2024-10-06,Sunday,13:00,CAR,10,CHI,36,26,46,1
2024_06_JAX_CHI,2024,REG,6,2024-10-13,Sunday,09:30,JAX,16,CHI,35,19,51,1
2024_08_CHI_WAS,2024,REG,8,2024-10-27,Sunday,16:25,CHI,15,WAS,18,3,33,0
2024_09_CHI_ARI,2024,REG,9,2024-11-03,Sunday,16:05,CHI,9,ARI,29,20,38,0
2024_10_NE_CHI,2024,REG,10,2024-11-10,Sunday,13:00,NE,19,CHI,3,-16,22,0
2024_11_GB_CHI,2024,REG,11,2024-11-17,Sunday,13:00,GB,20,CHI,19,-1,39,0
2024_12_MIN_CHI,2024,REG,12,2024-11-24,Sunday,13:00,MIN,30,CHI,27,-3,57,0
2024_13_CHI_DET,2024,REG,13,2024-11-28,Thursday,12:30,CHI,20,DET,23,3,43,0
2024_14_CHI_SF,2024,REG,14,2024-12-08,Sunday,16:25,CHI,13,SF,38,25,51,0
2024_15_CHI_MIN,2024,REG,15,2024-12-16,Monday,20:00,CHI,12,MIN,30,18,42,0
2024_16_DET_CHI,2024,REG,16,2024-12-22,Sunday,13:00,DET,34,CHI,17,-17,51,0
2024_17_SEA_CHI,2024,REG,17,2024-12-26,Thursday,20:15,SEA,6,CHI,3,-3,9,0
2024_18_CHI_GB,2024,REG,18,2025-01-05,Sunday,13:00,CHI,24,GB,22,-2,46,1
